common_name,scientific_name,species_group,esa_status,foreign_or_domestic,country
Alabama beach mouse,Peromyscus polionotus ammobates,Mammals,Endangered,Domestic,United States
Alabama canebrake pitcher-plant,Sarracenia rubra ssp. alabamensis,Flowering Plants,Endangered,Domestic,United States
Alabama lampmussel,Lampsilis virescens,Clams,Endangered,Domestic,United States
Alabama leather flower,Clematis socialis,Flowering Plants,Endangered,Domestic,United States
Alabama moccasinshell,Medionidus acutissimus,Clams,Threatened,Domestic,United States
Alabama pearlshell,Margaritifera marrianae,Clams,Endangered,Domestic,United States
Aleutian Tern,Sterna aleutica,Birds,Species of Concern,Domestic,
Allen's Cay iguana,Cyclura cychlura inornata,Reptiles,Threatened,Foreign,Bahamas
Allen's Hummingbird,Selasphorus sasin,Birds,Species of Concern,Domestic,
Altamira Oriole,Icterus gularis,Birds,Species of Concern,Domestic,
Amazonian manatee,Trichechus inunguis,Mammals,Endangered,Foreign,
American alligator,Alligator mississippiensis,Reptiles,Threatened,Domestic,United States
American badger,Taxidea taxus,Mammals,Species of Concern,Domestic,
American bittern,Botaurus lentiginosus,Birds,Species of Concern,Domestic,
American burying beetle,Nicrophorus americanus,Insects,Threatened,Both Domestic and Foreign,Canada
American burying beetle,Nicrophorus americanus,Insects,Threatened,Both Domestic and Foreign,United States
American Coot,Fulica americana americana,Birds,Species of Concern,Domestic,
American crocodile,Crocodylus acutus,Reptiles,Threatened,Both Domestic and Foreign,Colombia
American crocodile,Crocodylus acutus,Reptiles,Threatened,Both Domestic and Foreign,Haiti
American crocodile,Crocodylus acutus,Reptiles,Threatened,Both Domestic and Foreign,Guatemala
American crocodile,Crocodylus acutus,Reptiles,Threatened,Both Domestic and Foreign,Mexico
American crocodile,Crocodylus acutus,Reptiles,Threatened,Both Domestic and Foreign,El Salvador
American crocodile,Crocodylus acutus,Reptiles,Threatened,Both Domestic and Foreign,Peru
American crocodile,Crocodylus acutus,Reptiles,Threatened,Both Domestic and Foreign,Ecuador
American crocodile,Crocodylus acutus,Reptiles,Endangered,Foreign,
American crocodile,Crocodylus acutus,Reptiles,Threatened,Both Domestic and Foreign,Costa Rica
American crocodile,Crocodylus acutus,Reptiles,Threatened,Both Domestic and Foreign,Honduras
American crocodile,Crocodylus acutus,Reptiles,Threatened,Both Domestic and Foreign,Jamaica
American crocodile,Crocodylus acutus,Reptiles,Threatened,Both Domestic and Foreign,Belize
American crocodile,Crocodylus acutus,Reptiles,Threatened,Both Domestic and Foreign,Dominican Republic
American crocodile,Crocodylus acutus,Reptiles,Threatened,Both Domestic and Foreign,Venezuela
American crocodile,Crocodylus acutus,Reptiles,Threatened,Both Domestic and Foreign,Nicaragua
American crocodile,Crocodylus acutus,Reptiles,Threatened,Both Domestic and Foreign,United States
American crocodile,Crocodylus acutus,Reptiles,Threatened,Both Domestic and Foreign,Cuba
American Golden-Plover,Pluvialis dominica,Birds,Species of Concern,Domestic,
American Kestrel,Falco sparverius paulus,Birds,Species of Concern,Domestic,
American Oystercatcher,Haematopus palliatus,Birds,Species of Concern,Domestic,
Amsterdam Albatross,Diomedia amsterdamensis,Birds,Endangered,Foreign,French Southern Territories
Anastasia Island beach mouse,Peromyscus polionotus phasma,Mammals,Endangered,Domestic,United States
Andean condor,Vultur gryphus,Birds,Endangered,Foreign,Argentina
Andean condor,Vultur gryphus,Birds,Endangered,Foreign,Chile
Andean condor,Vultur gryphus,Birds,Endangered,Foreign,Colombia
Andros Island ground iguana,Cyclura cychlura cychlura,Reptiles,Threatened,Foreign,Bahamas
Anegada ground iguana,Cyclura pinguis,Reptiles,Endangered,Foreign,British Virgin Islands
Angulated tortoise,Geochelone yniphora,Reptiles,Endangered,Foreign,Madagascar
'Anianiau,Hemignathus parvus,Birds,Species of Concern,Domestic,
Antillean Mango,Anthracothorax dominicus,Birds,Species of Concern,Both Domestic and Foreign,
Apache trout,Oncorhynchus apache,Fishes,Threatened,Domestic,United States
Apapane,Himatione sanguinea,Birds,Species of Concern,Domestic,
Apaporis River caiman,Caiman crocodilus apaporiensis,Reptiles,Endangered,Foreign,Colombia
Apennine chamois,Rupicapra rupicapra ornata,Mammals,Endangered,Foreign,Italy
Applegate's milk-vetch,Astragalus applegatei,Flowering Plants,Endangered,Domestic,United States
Arabian gazelle,Gazella gazella,Mammals,Endangered,Foreign,Israel
Arabian gazelle,Gazella gazella,Mammals,Endangered,Foreign,Egypt
Arabian oryx,Oryx leucoryx,Mammals,Endangered,Foreign,
Arabian ostrich,Struthio camelus syriacus,Birds,Endangered,Foreign,Saudi Arabia
Arabian ostrich,Struthio camelus syriacus,Birds,Endangered,Foreign,Jordan
Arabian tahr,Hemitragus jayakari,Mammals,Endangered,Foreign,Oman
Arctic Tern,Sterna paradisaea,Birds,Species of Concern,Domestic,
Argali,Ovis ammon,Mammals,Threatened,Foreign,Mongolia
Argali,Ovis ammon,Mammals,Threatened,Foreign,Tajikistan
Argali,Ovis ammon,Mammals,Endangered,Foreign,Russia
Argali,Ovis ammon,Mammals,Endangered,Foreign,Afghanistan
Argali,Ovis ammon,Mammals,Endangered,Foreign,Kazakstan
Argali,Ovis ammon,Mammals,Endangered,Foreign,Uzbekistan
Argali,Ovis ammon,Mammals,Endangered,Foreign,India
Argali,Ovis ammon,Mammals,Endangered,Foreign,Pakistan
Argali,Ovis ammon,Mammals,Endangered,Foreign,China
Argali,Ovis ammon,Mammals,Threatened,Foreign,Kyrgyzstan
Argali,Ovis ammon,Mammals,Endangered,Foreign,Nepal
Arizona hedgehog cactus,Echinocereus triglochidiatus var. arizonicus,Flowering Plants,Endangered,Domestic,United States
Arizona Woodpecker,Picoides arizonae,Birds,Species of Concern,Domestic,
Arkansas fatmucket,Lampsilis powellii,Clams,Threatened,Domestic,United States
Arroyo (=arroyo southwestern) toad,Anaxyrus californicus,Amphibians,Endangered,Both Domestic and Foreign,Mexico
Arroyo (=arroyo southwestern) toad,Anaxyrus californicus,Amphibians,Endangered,Both Domestic and Foreign,United States
Aruba Island rattlesnake,Crotalus unicolor,Reptiles,Threatened,Foreign,Aruba
Ash Meadows Amargosa pupfish,Cyprinodon nevadensis mionectes,Fishes,Endangered,Domestic,United States
Ash Meadows gumplant,Grindelia fraxinipratensis,Flowering Plants,Threatened,Domestic,United States
Ash Meadows ivesia,Ivesia kingii var. eremica,Flowering Plants,Threatened,Domestic,United States
Ash meadows milk-vetch,Astragalus phoenix,Flowering Plants,Threatened,Domestic,United States
Ash Meadows naucorid,Ambrysus amargosus,Insects,Threatened,Domestic,United States
Ash Meadows speckled dace,Rhinichthys osculus nevadensis,Fishes,Endangered,Domestic,United States
Asian tapir,Tapirus indicus,Mammals,Endangered,Foreign,Vietnam
Asian tapir,Tapirus indicus,Mammals,Endangered,Foreign,Thailand
Asian tapir,Tapirus indicus,Mammals,Endangered,Foreign,Myanmar (Burma)
Asian tapir,Tapirus indicus,Mammals,Endangered,Foreign,Indonesia
Asian tapir,Tapirus indicus,Mammals,Endangered,Foreign,Cambodia
Asian tapir,Tapirus indicus,Mammals,Endangered,Foreign,Laos
Asian tapir,Tapirus indicus,Mammals,Endangered,Foreign,Malaysia
Asian wild ass,Equus hemionus,Mammals,Endangered,Foreign,
Atlantic puffin,Fratercula arctica,Birds,Species of Concern,Domestic,United States
Atlantic salmon,Salmo salar,Fishes,Endangered,Domestic,United States
Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,Fishes,Threatened,Domestic,
Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,Fishes,Endangered,Domestic,
Atlantic sturgeon (Gulf subspecies),Acipenser oxyrinchus (=oxyrhynchus) desotoi,Fishes,Threatened,Domestic,United States
Audouin's gull,Larus audouinii,Birds,Endangered,Foreign,
Audubon's crested caracara,Polyborus plancus audubonii,Birds,Threatened,Domestic,United States
Audubon's Oriole,Icterus graduacauda,Birds,Species of Concern,Domestic,
Audubon's Shearwater,Puffinus lherminieri,Birds,Species of Concern,Domestic,
Austin blind Salamander,Eurycea waterlooensis,Amphibians,Endangered,Domestic,United States
Australasian Swamphen,Porphyrio melanotus samoensis,Birds,Species of Concern,Both Domestic and Foreign,
Azores wood pigeon,Columba palumbus azorica,Birds,Endangered,Foreign,Portugal
Bachman's sparrow,Aimophila aestivalis,Birds,Species of Concern,Domestic,United States
Bactrian camel,Camelus bactrianus,Mammals,Endangered,Foreign,Mongolia
Bactrian camel,Camelus bactrianus,Mammals,Endangered,Foreign,China
Bactrian deer,Cervus elaphus bactrianus,Mammals,Endangered,Foreign,Afghanistan
Bahaman or Cuban parrot,Amazona leucocephala,Birds,Endangered,Foreign,Cayman Islands
Bahaman or Cuban parrot,Amazona leucocephala,Birds,Endangered,Foreign,Bahamas
Bahaman or Cuban parrot,Amazona leucocephala,Birds,Endangered,Foreign,Cuba
Band-rumped storm-petrel,Oceanodroma castro,Birds,Endangered,Domestic,United States
Band-tailed pigeon,patagioenas fasciata,Birds,Species of Concern,Domestic,
Bannerman's turaco,Tauraco bannermani,Birds,Endangered,Foreign,Cameroon
Barbados yellow warbler (=wood),Dendroica petechia petechia,Birds,Endangered,Foreign,Barbados
Bar-tailed Godwit,Limosa lapponica,Birds,Species of Concern,Domestic,
Barton Springs salamander,Eurycea sosorum,Amphibians,Endangered,Domestic,United States
Bay checkerspot butterfly,Euphydryas editha bayensis,Insects,Threatened,Domestic,United States
Beach layia,Layia carnosa,Flowering Plants,Endangered,Domestic,United States
bearded Seal,Erignathus barbatus nauticus,Mammals,Threatened,Domestic,
Beautiful goetzea,Goetzea elegans,Flowering Plants,Endangered,Domestic,United States
Beautiful goetzea,Goetzea elegans,Flowering Plants,Endangered,Domestic,Puerto Rico
Beautiful shiner,Cyprinella formosa,Fishes,Threatened,Both Domestic and Foreign,United States
Beautiful shiner,Cyprinella formosa,Fishes,Threatened,Both Domestic and Foreign,Mexico
Behren's silverspot butterfly,Speyeria zerene behrensii,Insects,Endangered,Domestic,United States
Bells Sparrow,Artemisiospiza belli,Birds,Species of Concern,Domestic,
Bell's Vireo,Vireo bellii,Birds,Species of Concern,Domestic,
Beluga sturgeon,Huso huso,Fishes,Threatened,Foreign,
Bendire's Thrasher,Toxostoma bendirei,Birds,Species of Concern,Domestic,
Benton County cave crayfish,Cambarus aculabrum,Crustaceans,Endangered,Domestic,United States
Bewick's Wren,Thryomanes bewickii ssp. bewickii,Birds,Species of Concern,Domestic,
Big Bend gambusia,Gambusia gaigei,Fishes,Endangered,Domestic,United States
Big brown bat,eptesicus fuscus,Mammals,Species of Concern,Domestic,
Big Creek Crayfish,Faxonius peruncus,Crustaceans,Threatened,Domestic,United States
Bighorn sheep,Ovis canadensis,Mammals,Species of Concern,Domestic,
Black-billed Cuckoo,Coccyzus erythropthalmus,Birds,Species of Concern,Domestic,
Black caiman,Melanosuchus niger,Reptiles,Endangered,Foreign,
Black-capped Chickadee,Poecile atricapillus practicus,Birds,Species of Concern,Domestic,
Black-capped petrel,Pterodroma hasitata,Birds,Threatened,Domestic,Haiti
Black-capped petrel,Pterodroma hasitata,Birds,Threatened,Domestic,United States
Black-chinned Sparrow,Spizella atrogularis,Birds,Species of Concern,Domestic,
Black-crowned Night-Heron,Nycticorax nycticorax,Birds,Species of Concern,Domestic,
Black-faced impala,Aepyceros melampus petersi,Mammals,Endangered,Foreign,Namibia
Black-faced impala,Aepyceros melampus petersi,Mammals,Endangered,Foreign,Angola
Black-footed ferret,Mustela nigripes,Mammals,Endangered,Both Domestic and Foreign,Mexico
Black-footed ferret,Mustela nigripes,Mammals,Endangered,Both Domestic and Foreign,United States
Black-fronted piping-guan,Pipile jacutinga,Birds,Endangered,Foreign,Argentina
Black Guillemot,Cepphus grylle,Birds,Species of Concern,Domestic,
Black-legged Kittiwake,Rissa tridactyla,Birds,Species of Concern,Domestic,
Black-necked Crane,Grus nigricollis,Birds,Endangered,Foreign,China
Black Noddy,Anous minutus melanogenys,Birds,Species of Concern,Domestic,
Black Oystercatcher,Haematopus bachmani,Birds,Species of Concern,Domestic,
Black pine snake,Pituophis melanoleucus lodingi,Reptiles,Threatened,Domestic,United States
Black Rail,Laterallus jamaicensis,Birds,Species of Concern,Domestic,United States
Black rhinoceros,Diceros bicornis,Mammals,Endangered,Foreign,
Black Rosy-Finch,Leucosticte atrata,Birds,Species of Concern,Domestic,
Black Scoter,Melanitta nigra,Birds,Species of Concern,Domestic,
Black Skimmer,Rynchops niger,Birds,Species of Concern,Domestic,
Black Stilt,Himantopus novaezelandiae,Birds,Endangered,Foreign,
Black Storm-Petrel,Oceanodroma melania,Birds,Species of Concern,Domestic,
Black Swift,Cypseloides niger,Birds,Species of Concern,Domestic,
Black tern,Chlidonias niger,Birds,Species of Concern,Both Domestic and Foreign,United States
Black tern,Chlidonias niger,Birds,Species of Concern,Both Domestic and Foreign,Canada
Black-throated Gray Warbler,Dendroica nigrescens,Birds,Species of Concern,Domestic,
Black-throated Green Warbler,Dendroica virens waynei,Birds,Species of Concern,Domestic,
Black throated Sparrow,Amphispiza bilineata,Birds,Species of Concern,Domestic,
Black toad,Bufo exsul,Amphibians,Species of Concern,Domestic,United States
Black Turnstone,Arenaria melanocephala,Birds,Species of Concern,Domestic,
Black-vented Shearwater,Puffinus opisthomelas,Birds,Species of Concern,Domestic,
Black warrior (=Sipsey Fork) Waterdog,Necturus alabamensis,Amphibians,Endangered,Domestic,United States
Black-whiskered Vireo,Vireo altiloquus,Birds,Species of Concern,Domestic,
Blowout penstemon,Penstemon haydenii,Flowering Plants,Endangered,Domestic,United States
Blue-gray Noddy,Procelsterna cerulea,Birds,Species of Concern,Domestic,
Blue-throated Hummingbird,Lampornis clemenciae,Birds,Species of Concern,Domestic,
Blue-winged Warbler,Vermivora pinus,Birds,Species of Concern,Domestic,
Blunt-nosed leopard lizard,Gambelia silus,Reptiles,Endangered,Domestic,United States
Blyth's tragopan pheasant,Tragopan blythii,Birds,Endangered,Foreign,China
Blyth's tragopan pheasant,Tragopan blythii,Birds,Endangered,Foreign,Myanmar (Burma)
Blyth's tragopan pheasant,Tragopan blythii,Birds,Endangered,Foreign,India
Bobolink,Dolichonyx oryzivorus,Birds,Species of Concern,Domestic,
bog turtle,Clemmys muhlenbergii,Reptiles,Threatened,Domestic,United States
Bolson tortoise,Gopherus flavomarginatus,Reptiles,Endangered,Foreign,Mexico
Bonaparte's Gull,Chroicocephalus philadelphia,Birds,Species of Concern,Domestic,
Bonin Petrel,Pterodroma hypoleuca,Birds,Species of Concern,Domestic,
Bonytail,Gila elegans,Fishes,Endangered,Domestic,United States
Botteri's Sparrow,Aimophila botterii,Birds,Species of Concern,Domestic,
Brewer's Sparrow,Spizella breweri,Birds,Species of Concern,Domestic,
Bridled Quail-Dove,Geotrygon mystacea,Birds,Species of Concern,Domestic,
Bridled Tern,Onychoprion anaethetus,Birds,Species of Concern,Both Domestic and Foreign,
Bridled Tern,Onychoprion anaethetus recongnitus,Birds,Species of Concern,Both Domestic and Foreign,
Brindled nail-tailed wallaby,Onychogalea fraenata,Mammals,Endangered,Foreign,Australia
Bristle-thighed curlew,Numenius tahitiensis,Birds,Species of Concern,Both Domestic and Foreign,United States
Broad-snouted caiman,Caiman latirostris,Reptiles,Threatened,Foreign,
Broad-snouted caiman,Caiman latirostris,Reptiles,Endangered,Foreign,
Brother's Island tuatara,Sphenodon guntheri,Reptiles,Endangered,Foreign,New Zealand
Brown bear,Ursus arctos arctos,Mammals,Endangered,Foreign,Italy
Brown bear,Ursus arctos pruinosus,Mammals,Endangered,Foreign,China
Brown Booby,Sula leucogaster,Birds,Species of Concern,Both Domestic and Foreign,
Brown Caiman,Caiman crocodilus fuscus (includes Caiman crocodilus chiapasius),Reptiles,Threatened,Foreign,
Brown-capped Rosy-Finch,Leucosticte australis,Birds,Species of Concern,Domestic,
Brown eared pheasant,Crossoptilon mantchuricum,Birds,Endangered,Foreign,China
Brown Hyena,Parahyaena (=Hyaena) brunnea,Mammals,Endangered,Foreign,
Brown pelican,pelecanus occidentalis ssp. occidentalis,Birds,Species of Concern,Domestic,
Buena Vista Lake ornate Shrew,Sorex ornatus relictus,Mammals,Endangered,Domestic,United States
Buff-banded Rail,Gallirallus philippensis goodsoni,Birds,Species of Concern,Domestic,
Buff-breasted Sandpiper,Calidris subruficollis,Birds,Species of Concern,Domestic,
Bull Trout,Salvelinus confluentus,Fishes,Threatened,Domestic,United States
Bulwer's Petrel,Bulweria bulwerii,Birds,Species of Concern,Domestic,
Bunched arrowhead,Sagittaria fasciculata,Flowering Plants,Endangered,Domestic,United States
Burrowing Owl,Athene cunicularia,Birds,Species of Concern,Domestic,
Cabot's tragopan pheasant,Tragopan caboti,Birds,Endangered,Foreign,China
Cabrera's hutia,Capromys angelcabrerai,Mammals,Endangered,Foreign,Cuba
Cactus Wren,Campylorhynchus brunneicapillus,Birds,Species of Concern,Domestic,
California clapper rail,Rallus longirostris obsoletus,Birds,Endangered,Domestic,United States
California condor,Gymnogyps californianus,Birds,Endangered,Both Domestic and Foreign,United States
California least tern,Sterna antillarum browni,Birds,Endangered,Both Domestic and Foreign,United States
California least tern,Sterna antillarum browni,Birds,Endangered,Both Domestic and Foreign,Mexico
California red-legged frog,Rana draytonii,Amphibians,Threatened,Both Domestic and Foreign,Mexico
California red-legged frog,Rana draytonii,Amphibians,Threatened,Both Domestic and Foreign,United States
California seablite,Suaeda californica,Flowering Plants,Endangered,Domestic,United States
California Thrasher,Toxostoma redivivum,Birds,Species of Concern,Domestic,
California tiger Salamander,Ambystoma californiense,Amphibians,Threatened,Domestic,United States
California tiger Salamander,Ambystoma californiense,Amphibians,Endangered,Domestic,United States
Calliope Hummingbird,Stellula calliope,Birds,Species of Concern,Domestic,
Callippe silverspot butterfly,Speyeria callippe callippe,Insects,Endangered,Domestic,United States
Cameroon toad,Bufo superciliaris,Amphibians,Endangered,Foreign,
Campbell Island flightless teal,Anas aucklandica nesiotis,Birds,Endangered,Foreign,New Zealand
Canada Lynx,Lynx canadensis,Mammals,Threatened,Domestic,United States
Canada Warbler,Cardellina canadensis,Birds,Species of Concern,Domestic,
Canarian black oystercatcher,Haematopus meadewaldoi,Birds,Endangered,Foreign,Spain
Canby's dropwort,Oxypolis canbyi,Flowering Plants,Endangered,Domestic,United States
Candy darter,Etheostoma osburni,Fishes,Endangered,Domestic,United States
Cape May Warbler,Setophaga tigrina,Birds,Species of Concern,Domestic,
Cape Sable seaside sparrow,Ammodramus maritimus mirabilis,Birds,Endangered,Domestic,United States
Capped Langur,Trachypithecus (=Presbytis) pileatus,Mammals,Endangered,Foreign,Myanmar (Burma)
Capped Langur,Trachypithecus (=Presbytis) pileatus,Mammals,Endangered,Foreign,Bangladesh
Capped Langur,Trachypithecus (=Presbytis) pileatus,Mammals,Endangered,Foreign,India
Caribbean monk seal,Monachus tropicalis,Mammals,Extinction,Both Domestic and Foreign,
Carolina heelsplitter,Lasmigona decorata,Clams,Endangered,Domestic,United States
Casey's June Beetle,Dinacoma caseyi,Insects,Endangered,Domestic,United States
Cassia Crossbill,Loxia sinesciuris,Birds,Species of Concern,Domestic,
Cassin's Finch,Carpodacus cassinii,Birds,Species of Concern,Domestic,
Cassin's Sparrow,Aimophila cassinii,Birds,Species of Concern,Domestic,
Cayman Brac ground iguana,Cyclura nubila caymanensis,Reptiles,Threatened,Foreign,Cayman Islands
Central American river turtle,Dermatemys mawii,Reptiles,Endangered,Foreign,Belize
Central American river turtle,Dermatemys mawii,Reptiles,Endangered,Foreign,Mexico
Central American river turtle,Dermatemys mawii,Reptiles,Endangered,Foreign,Guatemala
Central American tapir,Tapirus bairdii,Mammals,Endangered,Foreign,Ecuador
Central American tapir,Tapirus bairdii,Mammals,Endangered,Foreign,Colombia
Central American tapir,Tapirus bairdii,Mammals,Endangered,Foreign,Mexico
Chatham Island robin,Petroica traversi,Birds,Endangered,Foreign,New Zealand
Cheat Mountain salamander,Plethodon nettingi,Amphibians,Threatened,Domestic,United States
Cheetah,Acinonyx jubatus,Mammals,Endangered,Foreign,India
Cherokee darter,Etheostoma scotti,Fishes,Threatened,Domestic,United States
Chestnut-collared Longspur,Calcarius ornatus,Birds,Species of Concern,Domestic,
Chihuahua chub,Gila nigrescens,Fishes,Threatened,Both Domestic and Foreign,Mexico
Chihuahua chub,Gila nigrescens,Fishes,Threatened,Both Domestic and Foreign,United States
Chimpanzee,Pan troglodytes,Mammals,Endangered,Foreign,
Chinese alligator,Alligator sinensis,Reptiles,Endangered,Foreign,China
Chinese egret,Egretta eulophotes,Birds,Endangered,Foreign,North Korea
Chinese egret,Egretta eulophotes,Birds,Endangered,Foreign,China
Chinese egret,Egretta eulophotes,Birds,Endangered,Foreign,South Korea
Chinese giant salamander,Andrias davidianus (=davidianus d.),Amphibians,Endangered,Foreign,China
Chinese monal pheasant,Lophophorus lhuysii,Birds,Endangered,Foreign,China
Chinook salmon,Oncorhynchus (=Salmo) tshawytscha,Fishes,Threatened,Domestic,
Chinook salmon,Oncorhynchus (=Salmo) tshawytscha,Fishes,Endangered,Domestic,
Chittenango ovate amber snail,Succinea chittenangoensis,Snails,Threatened,Domestic,United States
Christmas Shearwater,Puffinus nativitatis,Birds,Species of Concern,Domestic,
Chucky Madtom,Noturus crypticus,Fishes,Endangered,Domestic,United States
Chum salmon,Oncorhynchus keta,Fishes,Threatened,Domestic,
Chupacallos,Pleodendron macranthum,Flowering Plants,Endangered,Domestic,Puerto Rico
Chupacallos,Pleodendron macranthum,Flowering Plants,Endangered,Domestic,United States
Clapper rail,Rallus longirostris,Birds,Species of Concern,Domestic,
Clapper Rail,Rallus crepitans,Birds,Species of Concern,Domestic,
Clark's Grebe,Aechmophorus clarkii,Birds,Species of Concern,Domestic,
Clay-Loving wild buckwheat,Eriogonum pelinophilum,Flowering Plants,Endangered,Domestic,United States
Clay phacelia,Phacelia argillacea,Flowering Plants,Endangered,Domestic,United States
Clouded leopard,Neofelis nebulosa,Mammals,Endangered,Foreign,Taiwan
Clubshell,Pleurobema clava,Clams,Endangered,Domestic,United States
Coachella Valley fringe-toed lizard,Uma inornata,Reptiles,Threatened,Domestic,United States
Cobana negra,Stahlia monosperma,Flowering Plants,Threatened,Both Domestic and Foreign,Puerto Rico
Cobana negra,Stahlia monosperma,Flowering Plants,Threatened,Both Domestic and Foreign,United States
Cobana negra,Stahlia monosperma,Flowering Plants,Threatened,Both Domestic and Foreign,Dominican Republic
Coho salmon,Oncorhynchus (=Salmo) kisutch,Fishes,Threatened,Domestic,
Coho salmon,Oncorhynchus (=Salmo) kisutch,Fishes,Endangered,Domestic,
Colorado hookless Cactus,Sclerocactus glaucus,Flowering Plants,Threatened,Domestic,United States
Colorado pikeminnow (=squawfish),Ptychocheilus lucius,Fishes,Endangered,Domestic,Mexico
Colorado pikeminnow (=squawfish),Ptychocheilus lucius,Fishes,Endangered,Domestic,United States
Columbia Basin Pygmy Rabbit,Brachylagus idahoensis,Mammals,Endangered,Domestic,United States
Columbian white-tailed deer,Odocoileus virginianus leucurus,Mammals,Threatened,Domestic,United States
Comanche-peak prairie-clover,Dalea reverchonii,Flowering Plants,Species of Concern,Domestic,United States
Comanche Springs pupfish,Cyprinodon elegans,Fishes,Endangered,Domestic,United States
Common Black-Hawk,Buteogallus anthracinus,Birds,Species of Concern,Domestic,
Common caiman,Caiman crocodilus crocodilus,Reptiles,Threatened,Foreign,
Common Eider,Somateria mollissima,Birds,Species of Concern,Domestic,
Common Ground-Dove,Columbina passerina exigua,Birds,Species of Concern,Domestic,
Common loon,gavia immer,Birds,Species of Concern,Domestic,
Common Murre,Uria aalge,Birds,Species of Concern,Domestic,
Common tern,Sterna hirundo,Birds,Species of Concern,Both Domestic and Foreign,United States
Common tern,Sterna hirundo,Birds,Species of Concern,Both Domestic and Foreign,Canada
Common Tern,Sterna hirundo hirundo,Birds,Species of Concern,Both Domestic and Foreign,
Common Yellowthroat,Geothlypis trichas sinuosa,Birds,Species of Concern,Domestic,United States
Connecticut Warbler,Oporornis agilis,Birds,Species of Concern,Domestic,
Cook's lomatium,Lomatium cookii,Flowering Plants,Endangered,Domestic,United States
Cooper's hawk,Accipiter cooperii,Birds,Species of Concern,Domestic,United States
Coosa moccasinshell,Medionidus parvulus,Clams,Endangered,Domestic,United States
Copperbelly water snake,Nerodia erythrogaster neglecta,Reptiles,Threatened,Domestic,United States
Cory's Shearwater,Calonectris diomedea,Birds,Species of Concern,Domestic,
Costa Rican puma,Puma (=Felis) concolor costaricensis,Mammals,Endangered,Foreign,Nicaragua
Costa Rican puma,Puma (=Felis) concolor costaricensis,Mammals,Endangered,Foreign,Panama
Costa Rican puma,Puma (=Felis) concolor costaricensis,Mammals,Endangered,Foreign,Costa Rica
Costa's Hummingbird,Calypte costae,Birds,Species of Concern,Domestic,
Cotton-top tamarin,Saguinus oedipus,Mammals,Endangered,Foreign,Costa Rica
Cotton-top tamarin,Saguinus oedipus,Mammals,Endangered,Foreign,Colombia
coyote,canis latrans,Mammals,Species of Concern,Domestic,
Cuban crocodile,Crocodylus rhombifer,Reptiles,Endangered,Foreign,Cuba
Cuban ground iguana,Cyclura nubila nubila,Reptiles,Threatened,Foreign,
