common_name,scientific_name,species_group,esa_status,foreign_or_domestic,state,state_abbr,country
Yellow-billed Cuckoo,Coccyzus americanus,Birds,Threatened,Both Domestic and Foreign,New Mexico,NM,United States
Yellow-billed Cuckoo,Coccyzus americanus,Birds,Threatened,Both Domestic and Foreign,Colorado,CO,United States
Yellow-billed Cuckoo,Coccyzus americanus,Birds,Threatened,Both Domestic and Foreign,Wyoming,WY,United States
Yellow-billed Cuckoo,Coccyzus americanus,Birds,Threatened,Both Domestic and Foreign,Texas,TX,United States
Yellow-billed Cuckoo,Coccyzus americanus,Birds,Threatened,Both Domestic and Foreign,Nevada,NV,United States
Yellow-billed Cuckoo,Coccyzus americanus,Birds,Threatened,Both Domestic and Foreign,California,CA,United States
Yellow-billed Cuckoo,Coccyzus americanus,Birds,Threatened,Both Domestic and Foreign,Utah,UT,United States
Yellow-billed Cuckoo,Coccyzus americanus,Birds,Threatened,Both Domestic and Foreign,Montana,MT,United States
Yellow-billed Cuckoo,Coccyzus americanus,Birds,Threatened,Both Domestic and Foreign,Arizona,AZ,United States
Yellow-billed Cuckoo,Coccyzus americanus,Birds,Threatened,Both Domestic and Foreign,Idaho,ID,United States
Yellow-billed Cuckoo,Coccyzus americanus,Birds,Threatened,Both Domestic and Foreign,Oregon,OR,United States
Yellow-billed Cuckoo,Coccyzus americanus,Birds,Threatened,Both Domestic and Foreign,Washington,WA,United States
Yellow blossom (pearlymussel),Epioblasma florentina florentina,Clams,Endangered,Domestic,Tennessee,TN,United States
Yellowcheek Darter,Etheostoma moorei,Fishes,Endangered,Domestic,Arkansas,AR,United States
Yellow lampmussel,Lampsilis cariosa,Clams,Species of Concern,Both Domestic and Foreign,North Carolina,NC,United States
Yellow-shouldered blackbird,Agelaius xanthomus,Birds,Endangered,Domestic,Puerto Rico,PR,United States
Yuma Ridgways (clapper) rail,Rallus obsoletus [=longirostris] yumanensis,Birds,Endangered,Both Domestic and Foreign,Arizona,AZ,United States
Yuma Ridgways (clapper) rail,Rallus obsoletus [=longirostris] yumanensis,Birds,Endangered,Both Domestic and Foreign,California,CA,United States
