common_name,scientific_name,species_group,esa_status,foreign_or_domestic,state,state_abbr,country
San Joaquin kit fox,Vulpes macrotis mutica,Mammals,Endangered,Domestic,California,CA,United States
San Marcos salamander,Eurycea nana,Amphibians,Threatened,Domestic,Texas,TX,United States
Santa Ana sucker,Catostomus santaanae,Fishes,Threatened,Domestic,California,CA,United States
Santa Barbara song sparrow,Melospiza melodia graminea,Birds,Extinction,Domestic,California,CA,United States
Santa Monica Mountains dudleyea,Dudleya cymosa ssp. ovatifolia,Flowering Plants,Threatened,Domestic,California,CA,United States
Seabeach amaranth,Amaranthus pumilus,Flowering Plants,Threatened,Domestic,Maryland,MD,United States
Seabeach amaranth,Amaranthus pumilus,Flowering Plants,Threatened,Domestic,New York,NY,United States
Seabeach amaranth,Amaranthus pumilus,Flowering Plants,Threatened,Domestic,Virginia,VA,United States
Seabeach amaranth,Amaranthus pumilus,Flowering Plants,Threatened,Domestic,South Carolina,SC,United States
Seabeach amaranth,Amaranthus pumilus,Flowering Plants,Threatened,Domestic,New Jersey,NJ,United States
Seabeach amaranth,Amaranthus pumilus,Flowering Plants,Threatened,Domestic,North Carolina,NC,United States
Seabeach amaranth,Amaranthus pumilus,Flowering Plants,Threatened,Domestic,Delaware,DE,United States
Seabeach amaranth,Amaranthus pumilus,Flowering Plants,Threatened,Domestic,Massachusetts,MA,United States
Sharp shinned hawk,Accipiter striatus,Birds,Species of Concern,Domestic,California,CA,United States
Sheepnose Mussel,Plethobasus cyphyus,Clams,Endangered,Domestic,West Virginia,WV,United States
Sheepnose Mussel,Plethobasus cyphyus,Clams,Endangered,Domestic,Minnesota,MN,United States
Sheepnose Mussel,Plethobasus cyphyus,Clams,Endangered,Domestic,Pennsylvania,PA,United States
Sheepnose Mussel,Plethobasus cyphyus,Clams,Endangered,Domestic,Iowa,IA,United States
Sheepnose Mussel,Plethobasus cyphyus,Clams,Endangered,Domestic,Mississippi,MS,United States
Sheepnose Mussel,Plethobasus cyphyus,Clams,Endangered,Domestic,Tennessee,TN,United States
Sheepnose Mussel,Plethobasus cyphyus,Clams,Endangered,Domestic,Alabama,AL,United States
