"common_name","esa_status","species_group","state"
"Piping Plover","Threatened","Birds","New York"
"Piping Plover","Threatened","Birds","Kansas"
"Piping Plover","Threatened","Birds","North Carolina"
"Piping Plover","Threatened","Birds","Louisiana"
"Piping Plover","Threatened","Birds","Massachusetts"
"Piping Plover","Threatened","Birds","Iowa"
"Piping Plover","Threatened","Birds","Connecticut"
"Piping Plover","Endangered","Birds","Ohio"
"Piping Plover","Threatened","Birds","Florida"
"Piping Plover","Threatened","Birds","Georgia"
"Piping Plover","Threatened","Birds","Arkansas"
"Piping Plover","Threatened","Birds","Colorado"
"Piping Plover","Threatened","Birds","Delaware"
"Piping Plover","Threatened","Birds","Alabama"
"Piping Plover","Threatened","Birds","Oklahoma"
"Pitcher's thistle","Threatened","Flowering Plants","Michigan"
"Pitcher's thistle","Threatened","Flowering Plants","Indiana"
"Pitcher's thistle","Threatened","Flowering Plants","Wisconsin"
"Pitcher's thistle","Threatened","Flowering Plants","Illinois"
"Polar bear","Threatened","Mammals","Alaska"
"Pondberry","Endangered","Flowering Plants","South Carolina"
"Pondberry","Endangered","Flowering Plants","Alabama"
"Pondberry","Endangered","Flowering Plants","Mississippi"
"Pondberry","Endangered","Flowering Plants","Georgia"
"Pondberry","Endangered","Flowering Plants","North Carolina"
"Pondberry","Endangered","Flowering Plants","Missouri"
"Pondberry","Endangered","Flowering Plants","Arkansas"
"Prairie bush-clover","Threatened","Flowering Plants","Minnesota"
"Prairie bush-clover","Threatened","Flowering Plants","Illinois"
"Prairie bush-clover","Threatened","Flowering Plants","Iowa"
"Prairie bush-clover","Threatened","Flowering Plants","Wisconsin"
"Preble's meadow jumping mouse","Threatened","Mammals","Colorado"
"Preble's meadow jumping mouse","Threatened","Mammals","Wyoming"
"Puerto Rican boa","Endangered","Reptiles","Puerto Rico"
"Puerto Rican crested toad","Threatened","Amphibians","Puerto Rico"
"Puerto Rican nightjar","Endangered","Birds","Puerto Rico"
"Puerto Rican parrot","Endangered","Birds","Puerto Rico"
"Puerto Rican sharp-shinned hawk","Endangered","Birds","Puerto Rico"
"Puerto Rico harlequin butterfly","Threatened","Insects","Puerto Rico"
"Puma (=mountain lion)","Threatened","Mammals","Florida"
"Puritan tiger beetle","Threatened","Insects","Maryland"
"Puritan tiger beetle","Threatened","Insects","Connecticut"
"Puritan tiger beetle","Threatened","Insects","Massachusetts"
"Purple bankclimber (mussel)","Threatened","Clams","Georgia"
"Purple bankclimber (mussel)","Threatened","Clams","Florida"
