"common_name","esa_status","species_group","country"
"American crocodile","Threatened","Reptiles","Guatemala"
"American crocodile","Threatened","Reptiles","Mexico"
"American crocodile","Threatened","Reptiles","El Salvador"
"American crocodile","Threatened","Reptiles","Peru"
"American crocodile","Threatened","Reptiles","Ecuador"
"American crocodile","Threatened","Reptiles","Costa Rica"
"American crocodile","Threatened","Reptiles","Honduras"
"American crocodile","Threatened","Reptiles","Jamaica"
"American crocodile","Threatened","Reptiles","Belize"
"American crocodile","Threatened","Reptiles","Dominican Republic"
"American crocodile","Threatened","Reptiles","Venezuela"
"American crocodile","Threatened","Reptiles","Nicaragua"
"American crocodile","Threatened","Reptiles","United States"
"American crocodile","Threatened","Reptiles","Cuba"
"Amsterdam Albatross","Endangered","Birds","French Southern Territories"
"Anastasia Island beach mouse","Endangered","Mammals","United States"
"Andean condor","Endangered","Birds","Argentina"
"Andean condor","Endangered","Birds","Chile"
"Andean condor","Endangered","Birds","Colombia"
"Andros Island ground iguana","Threatened","Reptiles","Bahamas"
"Anegada ground iguana","Endangered","Reptiles","British Virgin Islands"
"Angulated tortoise","Endangered","Reptiles","Madagascar"
"Apache trout","Threatened","Fishes","United States"
"Apaporis River caiman","Endangered","Reptiles","Colombia"
"Apennine chamois","Endangered","Mammals","Italy"
"Applegate's milk-vetch","Endangered","Flowering Plants","United States"
"Arabian gazelle","Endangered","Mammals","Israel"
"Arabian gazelle","Endangered","Mammals","Egypt"
"Arabian ostrich","Endangered","Birds","Saudi Arabia"
"Arabian ostrich","Endangered","Birds","Jordan"
"Arabian tahr","Endangered","Mammals","Oman"
"Argali","Threatened","Mammals","Mongolia"
"Argali","Threatened","Mammals","Tajikistan"
"Argali","Endangered","Mammals","Russia"
"Argali","Endangered","Mammals","Afghanistan"
"Argali","Endangered","Mammals","Kazakstan"
"Argali","Endangered","Mammals","Uzbekistan"
"Argali","Endangered","Mammals","India"
"Argali","Endangered","Mammals","Pakistan"
"Argali","Endangered","Mammals","China"
"Argali","Threatened","Mammals","Kyrgyzstan"
"Argali","Endangered","Mammals","Nepal"
"Arizona hedgehog cactus","Endangered","Flowering Plants","United States"
"Arkansas fatmucket","Threatened","Clams","United States"
"Arroyo (=arroyo southwestern) toad","Endangered","Amphibians","Mexico"
"Arroyo (=arroyo southwestern) toad","Endangered","Amphibians","United States"
"Aruba Island rattlesnake","Threatened","Reptiles","Aruba"
"Ash Meadows Amargosa pupfish","Endangered","Fishes","United States"
"Ash Meadows gumplant","Threatened","Flowering Plants","United States"
"Ash Meadows ivesia","Threatened","Flowering Plants","United States"
"Ash meadows milk-vetch","Threatened","Flowering Plants","United States"
"Ash Meadows naucorid","Threatened","Insects","United States"
"Ash Meadows speckled dace","Endangered","Fishes","United States"
"Asian tapir","Endangered","Mammals","Vietnam"
"Asian tapir","Endangered","Mammals","Thailand"
"Asian tapir","Endangered","Mammals","Myanmar (Burma)"
"Asian tapir","Endangered","Mammals","Indonesia"
"Asian tapir","Endangered","Mammals","Cambodia"
"Asian tapir","Endangered","Mammals","Laos"
"Asian tapir","Endangered","Mammals","Malaysia"
"Atlantic puffin","Species of Concern","Birds","United States"
"Atlantic salmon","Endangered","Fishes","United States"
"Atlantic sturgeon (Gulf subspecies)","Threatened","Fishes","United States"
"Audubon's crested caracara","Threatened","Birds","United States"
"Austin blind Salamander","Endangered","Amphibians","United States"
"Azores wood pigeon","Endangered","Birds","Portugal"
"Bachman's sparrow","Species of Concern","Birds","United States"
"Bactrian camel","Endangered","Mammals","Mongolia"
"Bactrian camel","Endangered","Mammals","China"
"Bactrian deer","Endangered","Mammals","Afghanistan"
"Bahaman or Cuban parrot","Endangered","Birds","Cayman Islands"
"Bahaman or Cuban parrot","Endangered","Birds","Bahamas"
"Bahaman or Cuban parrot","Endangered","Birds","Cuba"
"Band-rumped storm-petrel","Endangered","Birds","United States"
"Bannerman's turaco","Endangered","Birds","Cameroon"
"Barbados yellow warbler (=wood)","Endangered","Birds","Barbados"
"Barton Springs salamander","Endangered","Amphibians","United States"
"Bay checkerspot butterfly","Threatened","Insects","United States"
"Beach layia","Endangered","Flowering Plants","United States"
"Beautiful goetzea","Endangered","Flowering Plants","United States"
"Beautiful goetzea","Endangered","Flowering Plants","Puerto Rico"
"Beautiful shiner","Threatened","Fishes","United States"
"Beautiful shiner","Threatened","Fishes","Mexico"
"Behren's silverspot butterfly","Endangered","Insects","United States"
"Benton County cave crayfish","Endangered","Crustaceans","United States"
"Big Bend gambusia","Endangered","Fishes","United States"
"Big Creek Crayfish","Threatened","Crustaceans","United States"
"Black-capped petrel","Threatened","Birds","Haiti"
"Black-capped petrel","Threatened","Birds","United States"
"Black-faced impala","Endangered","Mammals","Namibia"
"Black-faced impala","Endangered","Mammals","Angola"
"Black-footed ferret","Endangered","Mammals","Mexico"
"Black-footed ferret","Endangered","Mammals","United States"
"Black-fronted piping-guan","Endangered","Birds","Argentina"
"Black-necked Crane","Endangered","Birds","China"
"Black pine snake","Threatened","Reptiles","United States"
"Black Rail","Species of Concern","Birds","United States"
"Black tern","Species of Concern","Birds","United States"
"Black tern","Species of Concern","Birds","Canada"
"Black toad","Species of Concern","Amphibians","United States"
"Black warrior (=Sipsey Fork) Waterdog","Endangered","Amphibians","United States"
"Blowout penstemon","Endangered","Flowering Plants","United States"
"Blunt-nosed leopard lizard","Endangered","Reptiles","United States"
"Blyth's tragopan pheasant","Endangered","Birds","China"
"Blyth's tragopan pheasant","Endangered","Birds","Myanmar (Burma)"
"Blyth's tragopan pheasant","Endangered","Birds","India"
"bog turtle","Threatened","Reptiles","United States"
"Bolson tortoise","Endangered","Reptiles","Mexico"
"Bonytail","Endangered","Fishes","United States"
"Brindled nail-tailed wallaby","Endangered","Mammals","Australia"
"Bristle-thighed curlew","Species of Concern","Birds","United States"
"Brother's Island tuatara","Endangered","Reptiles","New Zealand"
"Brown bear","Endangered","Mammals","Italy"
"Brown bear","Endangered","Mammals","China"
"Brown eared pheasant","Endangered","Birds","China"
"Buena Vista Lake ornate Shrew","Endangered","Mammals","United States"
"Bull Trout","Threatened","Fishes","United States"
"Bunched arrowhead","Endangered","Flowering Plants","United States"
"Cabot's tragopan pheasant","Endangered","Birds","China"
"Cabrera's hutia","Endangered","Mammals","Cuba"
"California clapper rail","Endangered","Birds","United States"
"California condor","Endangered","Birds","United States"
"California least tern","Endangered","Birds","United States"
"California least tern","Endangered","Birds","Mexico"
"California red-legged frog","Threatened","Amphibians","Mexico"
"California red-legged frog","Threatened","Amphibians","United States"
"California seablite","Endangered","Flowering Plants","United States"
"California tiger Salamander","Threatened","Amphibians","United States"
"California tiger Salamander","Endangered","Amphibians","United States"
"Callippe silverspot butterfly","Endangered","Insects","United States"
"Campbell Island flightless teal","Endangered","Birds","New Zealand"
"Canada Lynx","Threatened","Mammals","United States"
"Canarian black oystercatcher","Endangered","Birds","Spain"
"Canby's dropwort","Endangered","Flowering Plants","United States"
"Candy darter","Endangered","Fishes","United States"
"Cape Sable seaside sparrow","Endangered","Birds","United States"
"Capped Langur","Endangered","Mammals","Myanmar (Burma)"
"Capped Langur","Endangered","Mammals","Bangladesh"
"Capped Langur","Endangered","Mammals","India"
"Carolina heelsplitter","Endangered","Clams","United States"
"Casey's June Beetle","Endangered","Insects","United States"
"Cayman Brac ground iguana","Threatened","Reptiles","Cayman Islands"
"Central American river turtle","Endangered","Reptiles","Belize"
"Central American river turtle","Endangered","Reptiles","Mexico"
"Central American river turtle","Endangered","Reptiles","Guatemala"
"Central American tapir","Endangered","Mammals","Ecuador"
"Central American tapir","Endangered","Mammals","Colombia"
"Central American tapir","Endangered","Mammals","Mexico"
"Chatham Island robin","Endangered","Birds","New Zealand"
"Cheat Mountain salamander","Threatened","Amphibians","United States"
"Cheetah","Endangered","Mammals","India"
"Cherokee darter","Threatened","Fishes","United States"
"Chihuahua chub","Threatened","Fishes","Mexico"
"Chihuahua chub","Threatened","Fishes","United States"
"Chinese alligator","Endangered","Reptiles","China"
"Chinese egret","Endangered","Birds","North Korea"
"Chinese egret","Endangered","Birds","China"
"Chinese egret","Endangered","Birds","South Korea"
"Chinese giant salamander","Endangered","Amphibians","China"
"Chinese monal pheasant","Endangered","Birds","China"
"Chittenango ovate amber snail","Threatened","Snails","United States"
"Chucky Madtom","Endangered","Fishes","United States"
"Chupacallos","Endangered","Flowering Plants","Puerto Rico"
"Chupacallos","Endangered","Flowering Plants","United States"
"Clay-Loving wild buckwheat","Endangered","Flowering Plants","United States"
"Clay phacelia","Endangered","Flowering Plants","United States"
"Clouded leopard","Endangered","Mammals","Taiwan"
"Clubshell","Endangered","Clams","United States"
"Coachella Valley fringe-toed lizard","Threatened","Reptiles","United States"
"Cobana negra","Threatened","Flowering Plants","Puerto Rico"
"Cobana negra","Threatened","Flowering Plants","United States"
"Cobana negra","Threatened","Flowering Plants","Dominican Republic"
"Colorado hookless Cactus","Threatened","Flowering Plants","United States"
"Colorado pikeminnow (=squawfish)","Endangered","Fishes","Mexico"
"Colorado pikeminnow (=squawfish)","Endangered","Fishes","United States"
"Columbia Basin Pygmy Rabbit","Endangered","Mammals","United States"
"Columbian white-tailed deer","Threatened","Mammals","United States"
"Comanche-peak prairie-clover","Species of Concern","Flowering Plants","United States"
"Comanche Springs pupfish","Endangered","Fishes","United States"
"Common tern","Species of Concern","Birds","United States"
"Common tern","Species of Concern","Birds","Canada"
"Common Yellowthroat","Species of Concern","Birds","United States"
"Cook's lomatium","Endangered","Flowering Plants","United States"
"Cooper's hawk","Species of Concern","Birds","United States"
"Coosa moccasinshell","Endangered","Clams","United States"
"Copperbelly water snake","Threatened","Reptiles","United States"
"Costa Rican puma","Endangered","Mammals","Nicaragua"
"Costa Rican puma","Endangered","Mammals","Panama"
"Costa Rican puma","Endangered","Mammals","Costa Rica"
"Cotton-top tamarin","Endangered","Mammals","Costa Rica"
"Cotton-top tamarin","Endangered","Mammals","Colombia"
"Cuban crocodile","Endangered","Reptiles","Cuba"
"Cuban solenodon","Endangered","Mammals","Cuba"
"Cumberland bean (pearlymussel)","Endangered","Clams","United States"
"Cumberland darter","Endangered","Fishes","United States"
"Cumberlandian combshell","Endangered","Clams","United States"
"Cumberland pigtoe","Endangered","Clams","United States"
"Dakota Skipper","Threatened","Insects","Canada"
"Dakota Skipper","Threatened","Insects","United States"
"Dappled mountain robin","Threatened","Birds","Mozambique"
"Dappled mountain robin","Threatened","Birds","Tanzania"
"DeBeque phacelia","Threatened","Flowering Plants","United States"
"Delhi Sands flower-loving fly","Endangered","Insects","United States"
"Delta green ground beetle","Threatened","Insects","United States"
"Delta smelt","Threatened","Fishes","United States"
"Desert pupfish","Endangered","Fishes","United States"
"Desert pupfish","Endangered","Fishes","Mexico"
"Desert tortoise","Threatened","Reptiles","United States"
"Devils Hole pupfish","Endangered","Fishes","United States"
"Devils River minnow","Threatened","Fishes","Mexico"
"Devils River minnow","Threatened","Fishes","United States"
"diamond Darter","Endangered","Fishes","United States"
"Dolly Varden","Threatened","Fishes","United States"
"Dromedary pearlymussel","Endangered","Clams","United States"
"Dudley Bluffs bladderpod","Threatened","Flowering Plants","United States"
"Dudley Bluffs twinpod","Threatened","Flowering Plants","United States"
"dusky gopher frog","Endangered","Amphibians","United States"
"Dwarf wedgemussel","Endangered","Clams","Canada"
"Dwarf wedgemussel","Endangered","Clams","United States"
"Eastern Black rail","Threatened","Birds","United States"
"Eastern Hellbender Missouri DPS","Endangered","Amphibians","United States"
"Eastern indigo snake","Threatened","Reptiles","United States"
"Eastern Massasauga (=rattlesnake)","Threatened","Reptiles","Canada"
"Eastern Massasauga (=rattlesnake)","Threatened","Reptiles","United States"
"Eastern prairie fringed orchid","Threatened","Flowering Plants","United States"
"Eastern prairie fringed orchid","Threatened","Flowering Plants","Canada"
"Edward's pheasant","Endangered","Birds","Vietnam"
"Elfin-woods warbler","Threatened","Birds","United States"
"Elfin-woods warbler","Threatened","Birds","Puerto Rico"
"Elliot's pheasant","Endangered","Birds","China"
"El Segundo blue butterfly","Endangered","Insects","United States"
"Eskimo curlew","Endangered","Birds","United States"
"Eskimo curlew","Endangered","Birds","Canada"
"Everglade snail kite","Endangered","Birds","United States"
"Exuma Island iguana","Threatened","Reptiles","Bahamas"
"Eyrean grasswren (flycatcher)","Endangered","Birds","Australia"
"False water rat","Endangered","Mammals","Australia"
"Fanshell","Endangered","Clams","United States"
"Fat pocketbook","Endangered","Clams","United States"
"Fat threeridge (mussel)","Endangered","Clams","United States"
"Fea's muntjac","Endangered","Mammals","Thailand"
"Fea's muntjac","Endangered","Mammals","Myanmar (Burma)"
"Fender's blue butterfly","Endangered","Insects","United States"
"Fiji banded iguana","Endangered","Reptiles","Tonga"
"Fiji banded iguana","Endangered","Reptiles","Fiji"
"Fiji crested iguana","Endangered","Reptiles","Fiji"
"Finerayed pigtoe","Endangered","Clams","United States"
"Flattened musk turtle","Threatened","Reptiles","United States"
"Florida bonneted bat","Endangered","Mammals","United States"
"Florida grasshopper sparrow","Endangered","Birds","United States"
"Florida panther","Endangered","Mammals","United States"
"Florida salt marsh vole","Endangered","Mammals","United States"
"Florida scrub-jay","Threatened","Birds","United States"
"Fluted kidneyshell","Endangered","Clams","United States"
"Flying earwig Hawaiian damselfly","Endangered","Insects","United States"
"Formosan rock macaque","Threatened","Mammals","Taiwan"
"Fountain darter","Endangered","Fishes","United States"
"Francois' langur","Endangered","Mammals","China"
"Fringed campion","Endangered","Flowering Plants","United States"
"Fulvous whistling duck","Species of Concern","Birds","Mexico"
"Fulvous whistling duck","Species of Concern","Birds","United States"
"Galapagos hawk","Endangered","Birds","Ecuador"
"Galapagos penguin","Endangered","Birds","Ecuador"
"Galapagos petrel","Threatened","Birds","Ecuador"
"Galapagos tortoise","Endangered","Reptiles","Ecuador"
"Gelada baboon","Threatened","Mammals","Ethiopia"
"Gentner's Fritillary","Endangered","Flowering Plants","United States"
"Geometric turtle","Endangered","Reptiles","South Africa"
"Georgetown Salamander","Threatened","Amphibians","United States"
"Giant garter snake","Threatened","Reptiles","United States"
"Giant panda","Endangered","Mammals","China"
"Giant sable antelope","Endangered","Mammals","Angola"
"Gibbons","Endangered","Mammals","China"
"Gibbons","Endangered","Mammals","India"
"Gierisch mallow","Endangered","Flowering Plants","United States"
"Gila trout","Threatened","Fishes","United States"
"Golden-cheeked warbler (=wood)","Endangered","Birds","Nicaragua"
"Golden-cheeked warbler (=wood)","Endangered","Birds","Honduras"
"Golden-cheeked warbler (=wood)","Endangered","Birds","United States"
"Golden-cheeked warbler (=wood)","Endangered","Birds","El Salvador"
"Golden-cheeked warbler (=wood)","Endangered","Birds","Mexico"
"Golden-cheeked warbler (=wood)","Endangered","Birds","Guatemala"
"Golden conure","Threatened","Birds","Brazil"
"Golden eagle","Species of Concern","Birds","United States"
"Golden langur","Endangered","Mammals","India"
"Golden langur","Endangered","Mammals","Bhutan"
"golden paintbrush","Threatened","Flowering Plants","Canada"
"golden paintbrush","Threatened","Flowering Plants","United States"
"Golden-shouldered parakeet","Endangered","Birds","Australia"
"Goldline darter","Threatened","Fishes","United States"
"Goliath Frog","Threatened","Amphibians","Equatorial Guinea"
"Goliath Frog","Threatened","Amphibians","Gabon"
"Goliath Frog","Threatened","Amphibians","Cameroon"
"Gopher tortoise","Threatened","Reptiles","United States"
"Grand Cayman ground iguana","Endangered","Reptiles","Cayman Islands"
"Gray bat","Endangered","Mammals","United States"
"Gray (=entellus) langur","Endangered","Mammals","China"
"Gray (=entellus) langur","Endangered","Mammals","Pakistan"
"Gray (=entellus) langur","Endangered","Mammals","Sri Lanka"
"Gray (=entellus) langur","Endangered","Mammals","Bangladesh"
"Gray (=entellus) langur","Endangered","Mammals","India"
"Great Indian bustard","Endangered","Birds","India"
"Great Indian bustard","Endangered","Birds","Pakistan"
"Great Indian rhinoceros","Endangered","Mammals","India"
"Great Indian rhinoceros","Endangered","Mammals","Nepal"
"Greenback Cutthroat trout","Threatened","Fishes","United States"
"Green pitcher-plant","Endangered","Flowering Plants","United States"
"Green sea turtle","Endangered","Reptiles","Federated States of Micronesia"
"Green sea turtle","Threatened","Reptiles","United States"
"Green sea turtle","Endangered","Reptiles","Tokelau"
"Green sea turtle","Endangered","Reptiles","Fiji"
"Green sea turtle","Endangered","Reptiles","French Polynesia"
"Green sea turtle","Endangered","Reptiles","Tuvalu"
"Green sea turtle","Endangered","Reptiles","Tonga"
"Green sea turtle","Endangered","Reptiles","Kiribati"
"Green sea turtle","Endangered","Reptiles","Cook Islands"
"Green sea turtle","Endangered","Reptiles","Marshall Islands"
"Green sea turtle","Endangered","Reptiles","Papua New Guinea"
"Green sea turtle","Endangered","Reptiles","United States"
"Green sea turtle","Endangered","Reptiles","Solomon Islands"
"green sturgeon","Threatened","Fishes","Canada"
"Grey-necked rockfowl","Endangered","Birds","Cameroon"
"Grey-necked rockfowl","Endangered","Birds","Gabon"
"Grizzly bear","Threatened","Mammals","United States"
"Guadalupe fur seal","Threatened","Mammals","Mexico"
"Guajon","Threatened","Amphibians","United States"
"Guajon","Threatened","Amphibians","Puerto Rico"
"Gulf Coast jaguarundi","Endangered","Mammals","United States"
"Gulf Coast jaguarundi","Endangered","Mammals","Mexico"
"Gulf moccasinshell","Endangered","Clams","United States"
"Gunnison sage-grouse","Threatened","Birds","United States"
"Guyandotte River crayfish","Endangered","Crustaceans","United States"
"Haitian solenodon","Endangered","Mammals","Haiti"
"Haitian solenodon","Endangered","Mammals","Dominican Republic"
"Harper's beauty","Endangered","Flowering Plants","United States"
"Hawaii akepa","Endangered","Birds","United States"
"Hawaiian coot","Endangered","Birds","United States"
"Hawaiian goose","Threatened","Birds","United States"
"Hawaiian hoary bat","Endangered","Mammals","United States"
"Hawaiian (=koloa) Duck","Endangered","Birds","United States"
"Hawaiian stilt","Endangered","Birds","United States"
"Hawaiian vetch","Endangered","Flowering Plants","United States"
"Hawksbill sea turtle","Endangered","Reptiles","Kenya"
"Hawksbill sea turtle","Endangered","Reptiles","U.S. Virgin Islands"
"Hawksbill sea turtle","Endangered","Reptiles","Dominican Republic"
"Hawksbill sea turtle","Endangered","Reptiles","Maldives"
"Hawksbill sea turtle","Endangered","Reptiles","Guadeloupe"
"Hawksbill sea turtle","Endangered","Reptiles","Belize"
"Hawksbill sea turtle","Endangered","Reptiles","Mozambique"
"Hawksbill sea turtle","Endangered","Reptiles","Netherlands Antilles"
"Hawksbill sea turtle","Endangered","Reptiles","Colombia"
"Hawksbill sea turtle","Endangered","Reptiles","Qatar"
"Hawksbill sea turtle","Endangered","Reptiles","Cuba"
"Hawksbill sea turtle","Endangered","Reptiles","El Salvador"
"Hawksbill sea turtle","Endangered","Reptiles","Malaysia"
"Hawksbill sea turtle","Endangered","Reptiles","Guam"
"Hawksbill sea turtle","Endangered","Reptiles","China"
"Hawksbill sea turtle","Endangered","Reptiles","Eritrea"
"Hawksbill sea turtle","Endangered","Reptiles","Solomon Islands"
"Hawksbill sea turtle","Endangered","Reptiles","Mexico"
"Hawksbill sea turtle","Endangered","Reptiles","Somalia"
"Hawksbill sea turtle","Endangered","Reptiles","Federated States of Micronesia"
"Hawksbill sea turtle","Endangered","Reptiles","Panama"
"Hawksbill sea turtle","Endangered","Reptiles","Cambodia"
"Hawksbill sea turtle","Endangered","Reptiles","Puerto Rico"
"Hawksbill sea turtle","Endangered","Reptiles","Ecuador"
"Hawksbill sea turtle","Endangered","Reptiles","Vanuatu"
"Hawksbill sea turtle","Endangered","Reptiles","Saudi Arabia"
"Hawksbill sea turtle","Endangered","Reptiles","Brazil"
"Hawksbill sea turtle","Endangered","Reptiles","Nicaragua"
"Hawksbill sea turtle","Endangered","Reptiles","Venezuela"
"Hawksbill sea turtle","Endangered","Reptiles","Palau"
"Hawksbill sea turtle","Endangered","Reptiles","Bahrain"
"Hawksbill sea turtle","Endangered","Reptiles","Egypt"
"Hawksbill sea turtle","Endangered","Reptiles","Grenada"
"Hawksbill sea turtle","Endangered","Reptiles","Oman"
"Hawksbill sea turtle","Endangered","Reptiles","Antigua and Barbuda"
"Hawksbill sea turtle","Endangered","Reptiles","Marshall Islands"
"Hawksbill sea turtle","Endangered","Reptiles","Australia"
"Hawksbill sea turtle","Endangered","Reptiles","India"
"Hawksbill sea turtle","Endangered","Reptiles","Comoros"
"Hawksbill sea turtle","Endangered","Reptiles","British Virgin Islands"
"Hawksbill sea turtle","Endangered","Reptiles","American Samoa"
"Hawksbill sea turtle","Endangered","Reptiles","Seychelles"
"Hawksbill sea turtle","Endangered","Reptiles","Sudan"
"Hawksbill sea turtle","Endangered","Reptiles","Myanmar (Burma)"
"Hawksbill sea turtle","Endangered","Reptiles","Indonesia"
"Hawksbill sea turtle","Endangered","Reptiles","Kuwait"
"Hawksbill sea turtle","Endangered","Reptiles","Thailand"
"Hawksbill sea turtle","Endangered","Reptiles","U.S. Pacific Outlying Islands"
"Hawksbill sea turtle","Endangered","Reptiles","Costa Rica"
"Hawksbill sea turtle","Endangered","Reptiles","Northern Mariana Islands"
"Hawksbill sea turtle","Endangered","Reptiles","Saint Kitts and Nevis"
"Hawksbill sea turtle","Endangered","Reptiles","Barbados"
"Hawksbill sea turtle","Endangered","Reptiles","Japan"
"Hawksbill sea turtle","Endangered","Reptiles","Fiji"
"Hawksbill sea turtle","Endangered","Reptiles","Trinidad and Tobago"
"Hawksbill sea turtle","Endangered","Reptiles","Reunion"
"Hawksbill sea turtle","Endangered","Reptiles","Taiwan"
"Hawksbill sea turtle","Endangered","Reptiles","Papua New Guinea"
"Hawksbill sea turtle","Endangered","Reptiles","Nauru"
"Hawksbill sea turtle","Endangered","Reptiles","Tanzania"
"Hawksbill sea turtle","Endangered","Reptiles","Kiribati"
"Hawksbill sea turtle","Endangered","Reptiles","Sao Tome and Principe"
"Hawksbill sea turtle","Endangered","Reptiles","Honduras"
"Hawksbill sea turtle","Endangered","Reptiles","British Indian Ocean Territory"
"Hawksbill sea turtle","Endangered","Reptiles","Yemen"
"Hawksbill sea turtle","Endangered","Reptiles","Madagascar"
"Hawksbill sea turtle","Endangered","Reptiles","United Arab Emirates"
"Hawksbill sea turtle","Endangered","Reptiles","Mayotte"
"Hawksbill sea turtle","Endangered","Reptiles","Bahamas"
"Hawksbill sea turtle","Endangered","Reptiles","Mauritius"
"Hawksbill sea turtle","Endangered","Reptiles","United States"
"Hawksbill sea turtle","Endangered","Reptiles","Philippines"
"Hawksbill sea turtle","Endangered","Reptiles","Vietnam"
"Hawksbill sea turtle","Endangered","Reptiles","Sri Lanka"
"Hawksbill sea turtle","Endangered","Reptiles","Iran"
"Hawksbill sea turtle","Endangered","Reptiles","Jamaica"
"Hawksbill sea turtle","Endangered","Reptiles","Equatorial Guinea"
"Hawksbill sea turtle","Endangered","Reptiles","French Southern Territories"
"Hawksbill sea turtle","Endangered","Reptiles","Martinique"
"Hell Creek Cave crayfish","Endangered","Crustaceans","United States"
"Hierro giant lizard","Endangered","Reptiles","Spain"
"Higgins eye (pearlymussel)","Endangered","Clams","United States"
"Higo Chumbo","Threatened","Flowering Plants","United States"
"Higo Chumbo","Threatened","Flowering Plants","Puerto Rico"
"Higuero de sierra","Endangered","Flowering Plants","United States"
"Higuero de sierra","Endangered","Flowering Plants","Puerto Rico"
"Hine's emerald dragonfly","Endangered","Insects","United States"
"Hooded Crane","Endangered","Birds","Japan"
"Horned guan","Endangered","Birds","Mexico"
"Horned guan","Endangered","Birds","Guatemala"
"Humpback chub","Endangered","Fishes","United States"
"Hungerford's crawling water Beetle","Endangered","Insects","United States"
"Hungerford's crawling water Beetle","Endangered","Insects","Canada"
"Ibiza wall lizard","Threatened","Reptiles","Spain"
"`I`iwi","Threatened","Birds","United States"
"Imperial parrot","Endangered","Birds","Dominica"
"Inagua Island turtle","Endangered","Reptiles","Bahamas"
"Indiana bat","Endangered","Mammals","United States"
"Indian (=Bengal) monitor","Endangered","Reptiles","Malaysia"
"Indian (=Bengal) monitor","Endangered","Reptiles","Iraq"
"Indian (=Bengal) monitor","Endangered","Reptiles","Thailand"
"Indian (=Bengal) monitor","Endangered","Reptiles","Myanmar (Burma)"
"Indian (=Bengal) monitor","Endangered","Reptiles","India"
"Indian (=Bengal) monitor","Endangered","Reptiles","Afghanistan"
"Indian (=Bengal) monitor","Endangered","Reptiles","Iran"
"Indian (=Bengal) monitor","Endangered","Reptiles","Vietnam"
"Indian (=Bengal) monitor","Endangered","Reptiles","Sri Lanka"
"Indian Knob mountainbalm","Endangered","Flowering Plants","United States"
"Indian python","Endangered","Reptiles","India"
"Indian python","Endangered","Reptiles","Sri Lanka"
"Indian sawback turtle","Endangered","Reptiles","India"
"Indigo macaw","Endangered","Birds","Brazil"
"Indri lemur","Endangered","Mammals","Madagascar"
"Iriomote cat","Endangered","Mammals","Japan"
"Island marble Butterfly","Endangered","Insects","United States"
"Ivory-billed woodpecker","Endangered","Birds","United States"
"Jaguar","Endangered","Mammals","Mexico"
"Jaguar","Endangered","Mammals","United States"
"James spinymussel","Endangered","Clams","United States"
"Japanese Crane","Endangered","Birds","South Korea"
"Japanese Crane","Endangered","Birds","China"
"Japanese Crane","Endangered","Birds","North Korea"
"Japanese Crane","Endangered","Birds","Japan"
"Japanese giant salamander","Endangered","Amphibians","Japan"
"Japanese macaque","Threatened","Mammals","Japan"
"Javan rhinoceros","Endangered","Mammals","Myanmar (Burma)"
"Javan rhinoceros","Endangered","Mammals","Malaysia"
"Javan rhinoceros","Endangered","Mammals","India"
"Javan rhinoceros","Endangered","Mammals","Thailand"
"Javan rhinoceros","Endangered","Mammals","Indonesia"
